Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount,Undisbursed_Amount,Disbursed_Amount,Repaid_to_IBRD,Due_to_IBRD,Exchange_Adjustment,Borrower_Obligation,Sold_3rd_Party,Repaid_3rd_Party,Due_3rd_Party,Loans_Held
P006686,LEBRIJA HYDROELECTRI,2400000,0,0,2400000,2315200,0,0,0,84800,84800,0,0
P007848,AGRICULTURE,5000000,511009.54,0,4488990.46,4388990.46,0,0,0,100000,100000,0,0
P007501,POWER IV,29700000,0,0,29700000,26832000,0,0,0,2868000,2868000,0,0
P007929,PORT OF CALLAO,2500000,89472.39,0,2410527.61,1311295.28,2.33E-10,-2.33E-10,0,1099232.33,1099232.33,0,2.33E-10
P003263,POWER,28000000,0,0,28000000,5951000,0,0,0,22049000,22049000,0,0
P037458,KLM AIRLINES,7000000,0,0,7000000,3500000,0,0,0,3500000,3500000,0,0
P010002,RAILWAY,27200000,0,0,27200000,26264400,-3.73E-09,3.73E-09,0,935600,935600,0,-3.73E-09
P037367,INDUSTRY II,20000000,0,0,20000000,12001127.24,0,0,0,7998872.76,7998872.76,0,0
P010003,FARM IMPROVEMENT,3250000,0,0,3250000,2253000,0,0,0,997000,997000,0,0
P008875,POWER I,25200000,2356001.41,0,22843998.59,22344222.63,-3.73E-09,3.73E-09,0,499775.96,499775.96,0,-3.73E-09
P006217,POWER,25000000,25000000,0,0,0,0,0,0,0,0,0,0
P006218,RAILWAY REHABILITATI,12500000,0,0,12500000,12500000,0,0,0,0,0,0,0
P037343,GENERAL DEVELOPMENT,50000000,0,0,50000000,19546723.56,-3.73E-09,3.73E-09,0,30453276.44,30453276.44,0,-3.73E-09
P007930,FARM MECHANIZATION,1300000,0,0,1300000,860750,0,0,0,439250,439250,0,0
P006687,RAILWAY CONSTRUCTION,25000000,0,0,25000000,25000000,0,0,0,0,0,0,0
P037386,INDUSTRY,854000,0,0,854000,854000,0,0,0,0,0,0,0
P037368,INDUSTRY III,3479464.39,1415.63,0,3478048.76,2256176.84,0,-0.01,-0.01,1221871.92,1221871.92,0,0
P009590,INDIAN IRON & STEEL,31500000,2297111.52,0,29202888.48,28502888.48,3.73E-09,-3.73E-09,0,700000,700000,0,3.73E-09
P009589,IRRIGATION,19500000,9000000,0,10500000,9655000,-1.86E-09,1.86E-09,0,845000,845000,0,-1.86E-09
P009135,GENERAL DEVELOPMENT,30000000,0,0,30000000,30000000,0,0,0,0,0,0,0
P003149,RAILWAY,14000000,0,0,14000000,793709.6,-3.49E-10,3.49E-10,0,13206290.4,13206290.4,0,-3.49E-10
P006219,RIO DE JANEIRO HIGHW,3000000,18945.52,0,2981054.48,2981054.48,0,0,0,0,0,0,0
P006220,ITUTINGA HYDROELECTR,7300000,0,0,7300000,6253000,0,0,0,1047000,1047000,0,0
P037475,TRANSPORT,30000000,0,0,30000000,1553633.22,-1.16E-09,1.16E-09,0,28446366.78,28446366.78,0,-1.16E-09
P037474,POWER,30000000,0,0,30000000,2393000,0,0,0,27607000,27607000,0,0
P037387,FARM IMPROVEMENT II,1350000,0,0,1350000,1210028.9,0,-0.01,-0.01,139971.1,139971.1,0,0
P037388,COMMUNICATIONS,252000,0,0,252000,252000,0,0,0,0,0,0,0
P007738,HIGHWAY II,3500000,0,0,3500000,3500000,0,0,0,0,0,0,0
P007737,MANAGUA DIESEL POWER,450000,0,0,450000,450000,0,0,0,0,0,0,0
P006580,PULP AND PAPER,20000000,0,0,20000000,19621052.67,0,0,0,378947.33,378947.33,0,0
P006688,SUPPLEMENTARY HIGHWA,14350000,0,0,14350000,14000000,1.86E-09,-1.86E-09,0,350000,350000,0,1.86E-09
P008876,TSKB II (DFC),9000000,32938.29,0,8967061.71,8937061.71,-1.86E-09,1.86E-09,0,30000,30000,0,-1.86E-09
P007791,AGRICULTURAL MACHINE,1200000,542573.57,0,657426.43,657426.43,0,0,0,0,0,0,0
P007792,GRAIN SILOS,290000,0,0,290000,290000,0,0,0,0,0,0,0
P037414,GENERAL DEVELOPMENT,10000000,0,0,10000000,3344000,0,0,0,6656000,6656000,0,0
P037421,KANSAI POWER,21500000,922428.77,0,20577571.23,7819798.23,9.31E-10,-9.31E-10,0,12757773,12757773,0,9.31E-10
P037422,KYUSHU POWER,11200000,749679.44,0,10450320.56,4006626.56,4.66E-10,-4.66E-10,0,6443694,6443694,0,4.66E-10
P037423,CHUBU POWER,7500000,1043610.91,0,6456389.09,2561389.09,0,0,0,3895000,3895000,0,0
P006223,BRASIL SUBURBAN CAR,12500000,0,0,12500000,12500000,0,0,0,0,0,0,0
P006221,SALTO GRANDE HYDRO,10000000,0,0,10000000,10000000,0,0,0,0,0,0,0
P007031,GUAYAS HI HIGHWAY,8500000,1000000,0,7500000,7500000,9.31E-10,-9.31E-10,0,0,0,0,9.31E-10
P006222,PIRATININGA ELEC. PO,18790000,0,0,18790000,18790000,0,0,0,0,0,0,0
P037344,GENERAL DEVELOPMENT,54000000,0,0,54000000,10810000,0,0,0,43190000,43190000,0,0
P037466,GENERAL DEVELOPMENT,25000000,0,0,25000000,11337000,0,0,0,13663000,13663000,0,0
P007931,AGRIC MACHINERY II,1700000,0,0,1700000,1308000,0,0,0,392000,392000,0,0
P010004,SUI GAS TRANSMISSION,14000000,0,0,14000000,12194000,0,0,0,1806000,1806000,0,0
P001094,RAILWAYS,7500000,408432.88,0,7091567.12,4493567.12,0,0,0,2598000,2598000,0,0
P010005,POWER,19110000,3210590.52,0,15899409.48,15576409.5,-1.86E-09,1.86E-09,0,322999.98,322999.98,0,-1.86E-09
P037349,POWER,12000000,0,0,12000000,5757176.28,0,-0.010000002,-0.010000002,6242823.72,6242823.72,0,0
P007502,PACIFIC RAILWAY,61000000,0,0,61000000,52554000,7.45E-09,-7.45E-09,0,8446000,8446000,0,7.45E-09
P007138,COSTAL HIGHWAY,11100000,0,0,11100000,10850000,0,0,0,250000,250000,0,0
P007932,AGRICULTURAL CREDIT,5000000,229.39,0,4999770.61,4251770.61,0,0,0,748000,748000,0,0
P009592,TROMBAY POWER,16200000,2356679.69,0,13843320.31,12479320.31,1.86E-09,-1.86E-09,0,1364000,1364000,0,1.86E-09
P037360,PORT,20000000,0,0,20000000,825000,0,0,0,19175000,19175000,0,0
P006689,AGRIC MACHINERY II,5000000,0,0,5000000,2000000,0,0,0,3000000,3000000,0,0
P009591,ICICI I (DFC),10000000,124551.48,0,9875448.52,9875448.52,0,0,0,0,0,0,0
P000620,RAILWAYS I,24000000,0,0,24000000,237000,0,0,0,23763000,23763000,0,0
P037345,GENERAL DEVELOPMENT,54500000,0,0,54500000,13323944.98,-3.73E-09,3.73E-09,0,41176055.02,41176055.02,0,-3.73E-09
P037369,INDUSTRY IV,12000000,0,0,12000000,5557549.85,0,0,0,6442450.15,6442450.15,0,0
P006690,ANCHICAYA YUMBO POWE,4500000,0,0,4500000,4500000,9.31E-10,-9.31E-10,0,0,0,0,9.31E-10
P007933,IRRIGATION,18000000,536.53,0,17999463.47,17451463.47,-3.73E-09,3.73E-09,0,548000,548000,0,-3.73E-09
P037467,GENERAL DEVELOPMENT,25000000,0,0,25000000,13911568.43,0,0,0,11088431.57,11088431.57,0,0
P007934,PACASMAYO CEMENT,2500000,2918,0,2497082,2187082,0,0,0,310000,310000,0,0
P037415,GENERAL DEVELOPMENT,70000000,1600000,0,68400000,15767868.69,-1.86E-09,-0.010000004,-0.010000005,52632131.31,52632131.31,0,-1.86E-09
P037350,POWER,10000000,0,0,10000000,5053164.22,-9.31E-10,9.31E-10,0,4946835.78,4946835.78,0,-9.31E-10
